TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o,Prediction_TimeSeriesTransformer
01/20/2019 19:30:00,-6.870308032221848,0.0,-17.941616328990126,-6.431776091733602,-94.74819334693014,-7.747202051705025,-12.258449394734953,0.3390532049735617,-7.130787399570538,-6.322756303797557,-6.329333947484918,-9.413371831765241,-8.520149556241105,1,
01/20/2019 19:40:00,-6.8615761700657325,0.0,-17.812156395172945,-6.391679466844125,-8.009207186035026,-7.53260600218432,-12.258449394734953,0.3390532049735617,-6.8538697305537655,-6.316124710270846,-6.321729502914826,-9.05548954357965,-8.422690349746924,1,
01/20/2019 19:50:00,-6.602795185394815,0.0,-17.03445584678076,-6.158388000120987,5.991368242672111,-7.152673552448679,-4.97215444859976,21.9312200633118,-6.8538697305537655,-6.323703922647758,-6.330284761129591,-8.395547026663365,-7.888621210534306,1,
01/20/2019 20:00:00,-6.4305394480437155,0.0,-12.567246806333785,-6.12801167497706,0.1590929306298925,-7.003913906306015,-4.656210203054585,0.16438932206999285,-6.800253112258841,-6.38528247322496,-6.393018848098725,-7.866951637488462,-7.822721651549901,1,
01/20/2019 20:10:00,-6.542466108214638,0.0,-11.397991579097019,-6.135302288225309,-1.4165757365719431,-6.9708495293946235,-5.013789874906685,0.16438932206999285,-6.746632364112784,-6.08117788966618,-6.085049130350171,-8.055801533608786,-7.83846927673959,1,
01/20/2019 20:20:00,-6.4305394480437155,0.0,-10.855936149964325,-6.007721023430453,-1.9924016649733698,-6.937782223885569,-5.481582177875271,0.47004038612643545,-6.675125506036274,-5.524600219877276,-5.528992479970822,-7.772500161810244,-7.568842114171077,1,
01/20/2019 20:30:00,-6.2146240065683385,0.0,-10.092749925694145,-5.931172497616992,0.005957468693806407,-6.871639845717143,-5.333407211384671,0.47004038612643545,-6.693003218602759,-5.558705380624369,-5.558458483505531,-7.356691386180143,-7.412716175247408,1,
01/20/2019 20:40:00,-6.042368269217239,0.0,-9.59286869056151,-5.903226247409452,-0.44316961058812443,-6.838564773057772,-5.219520526280591,0.47004038612643545,-6.675125506036274,-5.498547619717479,-5.50332859193216,-7.356691386180143,-7.356692830863582,1,
01/20/2019 20:50:00,-5.62879510655687,0.0,-8.738514678183634,-5.695451344396554,5.742412470831155,-6.739325039421686,-3.1671124301733906,0.47004038612643545,-6.657247655808087,-5.413284948457102,-5.41873191370476,-6.732316550212597,-6.954994566321274,1,
01/20/2019 21:00:00,-5.3184173128940975,0.0,-7.8081855783955625,-5.539923829394159,0.47262010106732727,-6.573875824531645,-2.9711778115175607,0.47004038612643545,-6.335323557460352,-5.366390019823083,-5.370254869937487,-6.296672489072282,-6.669558511189779,1,
01/20/2019 21:10:00,-5.172356603717062,0.0,-7.27547142449476,-5.448794465523286,-0.5532801339510486,-6.226223778846641,-3.191604197314446,0.47004038612643545,-6.031079764794983,-5.349811124701445,-5.3550461943753,-6.107140970504269,-6.507656751690586,1,1.0
01/20/2019 21:20:00,-5.000100866365963,0.0,-6.964349436822472,-5.318783514231132,1.421931166976655,-5.928014738147039,-3.0997602310446197,0.3172134232949071,-5.70872285804859,-4.656812705490002,-4.658312196146839,-5.860638103306569,-6.282887519022503,1,1.0
01/20/2019 21:30:00,-4.7500517565396665,0.0,-6.148200083957236,-5.044180773589411,-3.0770457912879654,-5.563257390177161,-3.7487915787551875,0.3172134232949071,-5.368219385427001,-4.9613909565616625,-4.965331100250719,-5.139374286657506,-5.829518431938801,1,1.0
01/20/2019 21:40:00,-4.7500517565396665,0.0,-6.0739100711631115,-5.023524359751943,-0.06216955841903436,-5.297786378745275,-3.52469210202549,0.3172134232949071,-5.099222908543624,-4.922075807953435,-4.925409635065206,-5.120379355609319,-5.796481712280557,1,1.0
01/20/2019 21:50:00,-4.732587829211332,0.0,-5.999604944107998,-5.012588634099113,-0.09224727023517332,-5.131782512924348,-3.5846961931790764,0.3172134232949071,-4.9556943376161176,-4.910233162223939,-4.913052261354392,-5.082387469607476,-5.779048316908266,1,1.0
01/20/2019 22:00:00,-4.697660938881153,0.0,-5.880683070217953,-4.977352159082411,-0.24904978260462687,-5.015544179822507,-3.567552534013206,0.3172134232949071,-4.865965062065281,-4.916391052759715,-4.919706461821135,-4.987393442699947,-5.723138332699048,1,1.0
01/20/2019 22:10:00,-4.706392801037269,0.0,-5.836078127951827,-4.97370704667783,0.07228538444784588,-4.9491065226116735,-3.642252359589773,0.3172134232949071,-4.794172418290419,-4.923496313799306,-4.926360128342885,-4.987393442699947,-5.717377277973856,1,1.0
01/20/2019 22:20:00,-4.714330667215232,0.0,-5.806337564918142,-4.97370704667783,0.19760683300840404,-4.899270958209402,-3.6557229278228305,0.3608815402257598,-4.758269832795436,-4.920654202287858,-4.92350804337219,-4.987393442699947,-5.717377277973856,1,1.0
01/20/2019 22:30:00,-4.379344302025422,0.0,-5.612962400086026,-4.770792681976795,1.9697625502888856,-4.799586205059213,-3.0164882548668586,0.3608815402257598,-4.704413820796543,-3.933972771752379,-3.9311608467940027,-4.683286033591355,-5.4030683689188725,1,1.0
01/20/2019 22:40:00,-3.7069905480378336,0.0,-4.644474093891367,-4.354027838482808,1.0582683650949378,-4.51701574853777,-2.6013530586405835,0.3608815402257598,-4.417068965979311,-3.4778159141532354,-3.475859545133261,-3.9602663343866817,-4.792673778010319,0,1.0
