TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o
07/01/2020 07:30:00,79.359421,100.0,126.982994,2.138061,512.231995,105.878525,30.06897,-0.540163,91.645676,111.396408,111.890404,118.29229,1.4622109970862618,1
07/01/2020 07:40:00,77.983093,100.0,132.182083,2.776184,565.708313,98.142876,79.972839,33.044434,104.329987,112.130745,112.691498,125.94413,1.6661884647302059,1
07/01/2020 07:50:00,83.363327,100.0,166.566391,3.514405,535.830322,95.568237,100.12207,40.689087,110.399132,110.995865,111.489861,135.695984,1.8746746384372943,1
07/01/2020 08:00:00,127.594002,100.0,193.614395,4.174422,498.489197,111.174698,50.805664,-0.807191,115.055176,108.779518,109.273514,144.170319,2.043140230135954,1
07/01/2020 08:10:00,192.782578,100.0,212.214203,5.575789,493.051697,116.738091,47.967529,-0.70038,118.810516,117.831795,118.325813,151.357513,2.3613108647528813,1
07/01/2020 08:20:00,213.865677,100.0,230.116898,6.132584,509.91922,119.717598,58.549496,-0.70038,107.815277,119.340515,119.741058,156.856247,2.476405459532021,1
07/01/2020 08:30:00,230.819702,100.0,239.777496,6.883315,489.026917,126.073967,55.810547,-0.70038,126.983002,123.719788,124.173729,160.264725,2.623607249570713,1
07/01/2020 08:40:00,230.819702,100.0,241.255997,7.142944,496.618958,131.141632,53.308105,-0.70038,131.401718,123.986809,124.414063,162.101486,2.672628668558354,1
07/01/2020 08:50:00,234.886185,100.0,242.735184,7.32437,501.144592,134.394119,53.224182,-0.70038,134.003662,125.442123,125.909416,163.15152,2.7063573304351367,1
07/01/2020 09:00:00,244.395432,100.0,245.291763,7.630919,498.47467,136.737839,53.948971,-0.70038,135.826202,128.779968,129.247284,164.727188,2.7624118085470166,1
07/01/2020 09:10:00,245.77179,100.0,246.503494,7.709121,500.690521,138.431534,52.903748,-0.70038,137.38916,129.233932,129.67453,165.252579,2.776530388812627,1
