TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o
04/26/2019 15:40:00,84.114075,100.0,142.995682,0.145493,-0.011157,139.995682,0.032042,-0.44098,127.113037,112.945175,113.465866,141.951904,0.38143544670101126,1
04/26/2019 15:50:00,84.114075,100.0,145.867737,0.145493,-0.011157,139.213516,0.032042,-0.44098,125.94429,112.918472,113.492577,143.256683,0.38143544670101126,1
04/26/2019 16:00:00,113.955688,100.0,158.035721,0.145493,-0.011157,133.613235,0.039673,-0.44098,125.424973,111.316299,111.837013,148.219406,0.38143544670101126,1
04/26/2019 16:10:00,114.643845,100.0,184.221619,0.142364,-0.011157,131.401718,0.039673,-0.44098,125.554794,113.092041,113.626099,145.998337,0.37731154236254155,1
04/26/2019 16:20:00,128.970322,100.0,184.221619,0.142364,-0.011157,129.191635,0.039673,-0.44098,125.424973,112.825012,113.252258,131.661819,0.37731154236254155,1
04/26/2019 16:30:00,163.504013,100.0,175.909393,0.142364,-0.011157,127.762352,0.039673,-0.44098,125.554794,115.802383,116.323097,127.502548,0.37731154236254155,1
04/26/2019 16:40:00,219.245926,100.0,126.203819,0.145493,-0.011157,126.333664,10.079956,-0.425721,127.113037,121.396637,121.877281,123.867355,0.38143544670101126,1
04/26/2019 16:50:00,240.328964,100.0,135.956421,16.974409,-0.011157,125.814293,10.079956,-0.425721,130.296677,127.044289,127.5383,126.203819,4.120001092232865,1
04/26/2019 17:00:00,245.77179,100.0,139.604584,16.20178,-0.011157,131.141632,40.124512,-0.425721,134.459381,129.207214,129.67453,130.621521,4.025143475703692,1
04/26/2019 17:10:00,259.347534,100.0,144.561951,0.66162,-0.011157,132.702438,50.119019,49.440002,136.282166,133.599854,134.160599,132.052017,0.8134002704695886,1
04/26/2019 17:20:00,255.969223,100.0,149.003662,0.555267,-0.011157,136.216873,50.119019,100.03051,138.627197,132.878876,133.412918,155.808182,0.7451623984072197,1
