TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o
05/03/2018 20:50:00,142.483505,100.0,150.44194,3.758392,402.041809,125.814293,0.070191,-0.578309,127.437607,98.979568,99.420166,148.742218,1.9386572672857882,1
05/03/2018 21:00:00,122.776794,100.0,156.201172,3.336104,434.01947,128.282028,49.058533,-0.540163,126.91806,86.856453,87.323761,145.998337,1.8265004790582455,1
05/03/2018 21:10:00,82.737724,100.0,168.275131,2.425842,521.77179,127.24276,100.106812,-0.502014,126.073975,111.262894,112.023926,138.692169,1.5575114766832376,1
05/03/2018 21:20:00,154.745468,100.0,185.410782,3.76152,433.607727,126.593384,45.968624,-0.502014,124.775787,150.395966,150.930023,150.44194,1.9394638434371496,1
05/03/2018 21:30:00,219.934052,100.0,218.081802,5.557022,413.001587,131.141632,55.780025,-0.502014,129.126648,168.660736,169.034576,162.363968,2.3573336632729784,1
05/03/2018 21:40:00,224.688705,100.0,235.614502,5.563278,410.944336,134.914795,52.934265,-0.502014,134.459198,121.209717,121.663673,162.626465,2.3586602129174943,1
05/03/2018 21:50:00,224.000534,100.0,237.896774,5.463181,418.994751,136.868088,53.536983,-0.395203,135.240265,121.249756,121.743774,162.232727,2.3373448611619123,1
05/03/2018 22:00:00,230.757126,100.0,240.046265,5.666503,422.287354,137.38916,54.170223,-0.395203,135.500671,123.466103,124.013519,163.15152,2.380441765723329,1
05/03/2018 22:10:00,243.70726,100.0,242.735184,5.866698,425.337036,137.910294,55.169674,-0.479126,135.891312,127.845375,128.312683,164.464523,2.422126751431477,1
05/03/2018 22:20:00,243.019089,100.0,245.157166,5.966796,422.620911,138.692169,54.368591,-0.479126,136.802979,127.351379,127.885429,165.515289,2.442702601627959,1
05/03/2018 22:30:00,247.148148,100.0,246.099533,5.966796,422.349579,139.343872,54.284668,-0.479126,137.4543,128.459549,129.006958,165.515289,2.442702601627959,1
05/03/2018 22:40:00,247.773743,100.0,246.907501,6.066895,422.663544,139.865311,54.803467,-0.479126,137.845154,129.273987,129.808044,166.040802,2.4631067780346023,1
05/03/2018 22:50:00,280.368042,100.0,250.276276,6.670608,429.845459,140.778046,59.251404,-0.479126,138.236069,141.99791,142.625427,168.669586,2.5827520206167685,1
05/03/2018 23:00:00,321.845978,100.0,259.322327,7.680969,419.828644,143.5177,58.442684,-0.479126,141.10408,156.911453,157.312012,174.328461,2.7714561154743187,1
05/03/2018 23:10:00,384.344482,100.0,269.750824,9.295044,416.772552,148.611511,61.753845,-0.486755,145.280075,180.196381,180.543518,181.184586,3.0487774599009354,0
05/03/2018 23:20:00,391.101044,100.0,272.057892,9.498368,425.012329,152.535065,61.7691,-0.486755,149.722717,182.97348,183.454132,182.240631,3.0819422447541096,0
05/03/2018 23:30:00,395.167511,100.0,273.687469,9.79866,422.922974,155.153305,61.715694,-0.486755,152.077087,184.936127,185.403427,183.429092,3.130281137533816,0
05/03/2018 23:40:00,394.47934,100.0,273.551636,9.698563,422.862885,156.07016,61.105347,-0.486755,153.123993,183.7612,184.121704,183.297012,3.1142515954880716,0
05/03/2018 23:50:00,391.789215,100.0,273.415802,9.698563,425.123322,156.594208,60.89172,-0.486755,153.516678,183.333954,183.774551,183.032883,3.1142515954880716,0
05/04/2018 00:00:00,390.412872,100.0,273.687469,9.698563,423.189606,156.856247,60.746765,-0.486755,153.647583,182.666397,183.080276,183.032883,3.1142515954880716,0
05/04/2018 00:10:00,384.970093,100.0,274.095001,9.695435,415.946777,156.987274,59.12933,-0.448608,153.778473,180.984116,181.424713,183.693237,3.1137493476514773,1
05/04/2018 00:20:00,391.101044,100.0,273.551636,9.595337,425.392212,156.856247,61.647034,-0.448608,153.778473,183.841324,184.2285,182.900833,3.0976340971780383,0
05/04/2018 00:30:00,463.108826,100.0,280.894958,11.106186,424.931824,159.215591,66.88842,-0.448608,155.08783,211.345276,211.785873,188.054886,3.3325944847820894,0
05/04/2018 00:40:00,471.304291,100.0,284.436859,11.606674,422.166656,162.495209,65.187073,-0.448608,158.62561,214.883423,215.230545,190.436386,3.4068569092346688,0
05/04/2018 00:50:00,558.889771,100.0,292.48938,13.452225,425.177795,166.829224,73.014832,-0.448608,161.642212,248.235321,248.582458,195.602203,3.667727498056528,0
05/04/2018 01:00:00,571.777344,100.0,295.634216,14.156036,421.962341,171.432022,70.329285,-0.448608,166.632111,253.936386,254.216751,198.387146,3.762450797020474,0
05/04/2018 01:10:00,592.10968,100.0,297.276306,14.675292,425.620117,173.538269,73.526001,-0.448608,168.472351,261.359772,261.586761,199.714142,3.8308343738668733,0
05/04/2018 01:20:00,593.486023,100.0,297.550049,14.675292,423.283752,175.118835,72.702026,-0.448608,170.313629,261.573425,261.880493,199.714142,3.8308343738668733,0
05/04/2018 01:30:00,589.544678,100.0,297.139435,14.675292,422.529053,175.514084,72.526543,-0.448608,170.839874,260.291687,260.46524,199.714142,3.8308343738668733,0
05/04/2018 01:40:00,590.795837,100.0,297.276306,14.675292,424.421844,175.777618,72.251884,-0.448608,170.971466,260.585388,260.785645,199.714142,3.8308343738668733,0
05/04/2018 01:50:00,590.295349,100.0,297.139435,14.575194,425.118439,175.645859,72.740173,-0.448608,170.971466,260.118103,260.46524,199.714142,3.8177472415025067,0
05/04/2018 02:00:00,588.043152,100.0,297.139435,14.575194,422.489471,175.645859,72.358704,-0.448608,170.971466,259.931152,260.224915,199.581421,3.8177472415025067,0
05/04/2018 02:10:00,588.731323,100.0,297.139435,14.575194,423.983124,175.777618,72.343445,-0.425721,170.971466,259.971252,260.198181,199.581421,3.8177472415025067,0
