TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o,Prediction_RNNTransformer
07/14/2020 13:10:00,-1.602610969038066,0.0,-0.6373811091976642,-1.439105174278545,-0.3657798961614073,-1.8985875213168226,-3.309163973351337,-0.40325327393188204,-1.6784252288643782,-1.676872604439837,-1.6736648447778695,-1.1338963752196478,-1.3468020039650304,1,0.0
07/14/2020 13:20:00,-1.5772087821880698,0.0,-0.6222843895736139,-1.3589107591823273,-0.38539861597995617,-1.6810558709670311,-3.3324318583755126,-0.40325327393188204,-1.4615265486911828,-1.6527142131168462,-1.6508522585905814,-1.0572772414646197,-1.2656147685329024,1,0.0
07/14/2020 13:30:00,-1.5692707256825102,0.0,-0.6373811091976642,-1.3273190081311177,-0.11420754279582156,-1.614101379934241,-3.3446777419460396,-0.40325327393188204,-1.3711231437738558,-1.6929778320485955,-1.689823230498415,-1.0189610968943466,-1.2337784153828855,1,0.0
07/14/2020 13:40:00,-1.5684773006871473,0.0,-0.6675711284304999,-1.3564810726850285,0.5434847223690661,-1.5973612610446326,-3.315287557173121,-0.40325327393188204,-1.3711231437738558,-1.636608985508087,-1.6337428100510327,-1.0572772414646197,-1.2631633503804467,1,1.0
07/14/2020 13:50:00,-1.5684773006871473,0.0,-0.6222843895736139,-1.3285344340383993,-0.10354150348915674,-1.580619232200022,-3.37774085714264,-0.40325327393188204,-1.3530372867103075,-1.6579253007976855,-1.6556043334193167,-1.038119241461821,-1.2350017340059418,1,1.0
07/14/2020 14:00:00,-1.585940657032692,0.0,-0.6524778288217083,-1.360126185089609,-0.1296853164326999,-1.580619232200022,-3.389987382749688,-0.42508160918408017,-1.3530372867103075,-1.6527142131168462,-1.6480001380235547,-1.0572772414646197,-1.2668412485233391,1,1.0
07/14/2020 14:10:00,-1.5684773006871473,0.0,-0.6071843602573712,-1.3236738957265366,-0.20568916787640765,-1.5638772033554151,-3.3397786822776565,-0.42508160918408017,-1.3530372867103075,-1.657451065635925,-1.6546538045453048,-0.999802952326872,-1.2301103586826003,1,1.0
07/14/2020 14:20:00,-1.6113424505389893,0.0,-0.6222843895736139,-1.3576957217141334,-0.5051244276599894,-1.5638772033554151,-3.436521708215866,-0.42508160918408017,-1.3530372867103075,-1.7000825609173607,-1.6955263681461534,-1.038119241461821,-1.2643888025364074,1,1.0
07/14/2020 14:30:00,-1.602610969038066,0.0,-0.6373811091976642,-1.3625558715869082,0.18148337641447607,-1.580619232200022,-3.3593726738233687,-0.42508160918408017,-1.3530372867103075,-1.684451532992308,-1.682219035102652,-1.038119241461821,-1.2692933986835115,1,1.0
07/14/2020 14:40:00,-1.5772087821880698,0.0,-0.6071843602573712,-1.3564810726850285,0.07131276984059641,-1.580619232200022,-3.3459022660994404,-0.42508160918408017,-1.3711231437738558,-1.6645568588463415,-1.659406448915364,-1.038119241461821,-1.2631633503804467,1,1.0
