TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o
12/15/2019 19:20:00,102.381882,100.0,144.561951,3.814697,241.576218,113.502449,0.18463,-0.715637,122.180908,111.249542,111.703484,144.431396,1.9531249319999988,1
12/15/2019 19:30:00,105.134583,100.0,145.867737,3.74588,542.915649,120.495293,38.690182,17.640686,120.236038,102.758026,103.211967,141.821457,1.9354276013325842,1
12/15/2019 19:40:00,93.560776,100.0,175.514084,3.423691,552.681946,122.180908,76.860039,27.80304,120.236038,111.583328,112.184143,139.343872,1.8503218638928742,1
12/15/2019 19:50:00,127.531425,100.0,193.084503,4.2276,503.588959,124.905586,49.058533,-0.776672,120.495293,114.707565,115.228264,145.998337,2.056112837370556,1
12/15/2019 20:00:00,200.915543,100.0,216.213684,5.685272,508.175476,118.29229,52.323914,-0.669861,121.921532,118.753044,119.260406,154.891388,2.3843808420636163,1
12/15/2019 20:10:00,213.803101,100.0,234.406906,6.032486,500.808807,122.180908,59.518433,-0.669861,124.451324,119.861221,120.301819,157.904648,2.4561119681317463,1
12/15/2019 20:20:00,215.86763,100.0,238.702667,6.163864,498.556732,132.832535,57.267757,-0.669861,129.451569,119.914612,120.355217,159.215591,2.4827130321485003,1
12/15/2019 20:30:00,222.624176,100.0,240.852707,6.451645,499.537842,135.565765,57.260132,-0.669861,131.531769,122.211075,122.624954,160.658234,2.54000885825227,1
12/15/2019 20:40:00,248.461914,100.0,244.753372,6.992798,504.944641,137.38916,60.609436,-0.669861,133.092743,131.476959,131.917572,163.282806,2.6443899107355557,0
12/15/2019 20:50:00,304.078674,100.0,252.973877,8.356628,505.953003,140.256454,63.638306,-0.669861,136.086639,151.370605,151.784515,169.064072,2.890783284855508,0
12/15/2019 21:00:00,313.024902,100.0,261.351135,8.94783,497.040985,144.823074,59.205624,-0.654602,141.038864,155.896759,156.324005,173.274918,2.9912923628425223,1
12/15/2019 21:10:00,327.914398,100.0,262.569061,9.320069,503.05014,147.565994,61.647034,-0.654602,142.995682,161.344147,161.691284,174.065048,3.0528788053245743,0
12/15/2019 21:20:00,333.357239,100.0,265.277222,9.74861,497.324219,149.657349,59.976192,-0.654602,145.345367,163.039764,163.400269,176.304749,3.1222764131319316,1
12/15/2019 21:30:00,334.04541,100.0,265.819122,9.757995,500.76001,151.095901,59.945675,-0.654602,146.651443,165.229401,165.723404,176.700134,3.1237789614503777,1
12/15/2019 21:40:00,399.92218,100.0,272.329437,11.281357,505.585297,153.058548,65.148926,-0.654602,148.611511,191.812119,192.212677,181.448578,3.3587731391089815,0
12/15/2019 21:50:00,437.95929,100.0,280.35040300000003,12.645187,494.989288,157.511459,64.019775,-0.654602,153.320328,201.385101,201.692184,186.732574,3.556007170971397,0
12/15/2019 22:00:00,438.64743,100.0,280.75882,12.654571,500.224243,159.871262,64.149475,-0.68512,155.808197,203.294373,203.64151,186.864777,3.55732638367637,0
12/15/2019 22:10:00,440.336609,100.0,281.303436,12.835999,499.576843,160.920593,63.844296,-0.68512,156.856247,203.534698,203.855133,187.525894,3.5827362448274083,0
12/15/2019 22:20:00,445.278931,100.0,281.575775,12.907943,498.248627,161.445389,62.654114,-0.68512,157.249359,204.148865,204.469284,187.525894,3.592762586088872,0
12/15/2019 22:30:00,440.023773,100.0,281.711945,12.892303,501.123138,161.576599,63.928223,-0.68512,157.511459,203.708267,204.068741,187.658142,3.5905853283274025,0
12/15/2019 22:40:00,440.711945,100.0,281.848145,12.926712,499.346558,161.707809,63.294979,-0.68512,157.77359,203.26767,203.588089,187.790375,3.595373694068532,0
12/15/2019 22:50:00,440.711945,100.0,281.984344,12.926712,500.892944,161.707809,63.867184,-0.68512,157.904648,203.734955,204.042053,187.658142,3.595373694068532,0
