TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o
04/30/2018 04:20:00,169.009399,100.0,153.843933,4.186935,389.257477,129.451569,12.200927,-0.456239,134.198883,115.68222,116.189575,152.404205,2.046200136839014,1
04/30/2018 04:30:00,178.518677,100.0,186.335983,4.393386,422.252197,135.695984,46.250916,-0.456239,134.524292,116.536713,117.04406,155.808182,2.096040553042808,1
04/30/2018 04:40:00,204.356369,100.0,220.752396,4.897003,437.755432,136.216873,60.76202,-0.456239,134.914795,117.257675,117.631531,157.904648,2.212917305278261,0
04/30/2018 04:50:00,224.000534,100.0,232.261185,5.297393,420.544556,136.868088,56.565853,-0.456239,135.044983,120.635605,121.10289,161.182983,2.301606612781602,1
04/30/2018 05:00:00,243.70726,100.0,240.046265,6.001204,419.417847,138.040604,54.101563,-0.456239,136.477356,126.630402,127.164459,165.383926,2.44973549592604,1
04/30/2018 05:10:00,261.349487,100.0,245.561005,6.301498,433.021301,139.604584,58.663937,-0.456239,137.38916,134.694672,135.148621,167.092072,2.5102784706083905,1
04/30/2018 05:20:00,315.715027,100.0,254.728561,7.405701,420.740601,141.951904,60.525513,-0.425721,139.083176,154.174408,154.721832,172.484985,2.7213417646447864,0
04/30/2018 05:30:00,334.733582,100.0,263.24588,8.325347,418.361755,145.475952,57.237244,-0.425721,143.582947,161.117157,161.637863,177.359238,2.885367740860773,1
04/30/2018 05:40:00,355.81662,100.0,266.632172,8.725738,419.963745,149.395859,58.999634,-0.425721,146.847412,168.300247,168.767548,179.205414,2.9539360182644443,1
04/30/2018 05:50:00,359.194916,100.0,267.716553,8.825836,421.017639,151.749985,59.457394,-0.425721,149.199768,169.715485,170.102692,179.865005,2.9708308602140243,1
04/30/2018 06:00:00,359.883118,100.0,268.123322,8.925934,420.981964,152.796799,59.037777,-0.425721,150.115005,170.009216,170.36972,180.128876,2.987630164528401,1
04/30/2018 06:10:00,365.325928,100.0,268.66571,9.026031,425.517334,153.582123,59.854126,-0.425721,150.768921,172.54599,172.933197,180.524734,3.0043353674315387,1
04/30/2018 06:20:00,408.805817,100.0,275.317902,10.145875,414.488373,155.546219,60.594173,-0.425721,151.946243,188.180542,188.554382,185.278625,3.185259016155515,0
04/30/2018 06:30:00,465.17334,100.0,281.575775,11.362686,418.146423,159.477844,64.813225,-0.425721,155.08783,208.92868,209.302505,189.51004,3.370858347661616,0
04/30/2018 06:40:00,505.274933,100.0,285.527496,12.376175,431.461487,163.414078,69.856255,-0.425721,158.887817,226.005173,226.605988,192.025009,3.5179788231312594,0
04/30/2018 06:50:00,555.699158,100.0,290.713287,13.496017,438.390747,167.486374,73.228455,-0.425721,162.823364,246.753296,247.087082,195.469635,3.6736925565430756,0
04/30/2018 07:00:00,601.618896,100.0,297.823853,15.019378,418.587128,172.616623,71.458435,-0.425721,167.683563,263.949951,264.070129,200.776123,3.8754842278094745,0
04/30/2018 07:10:00,613.818359,100.0,298.782318,15.019378,429.27298,175.25058,74.006653,-0.425721,170.44519,269.063568,269.303894,200.643356,3.8754842278094745,0
04/30/2018 07:20:00,695.960938,100.0,304.813812,16.639708,435.301422,179.073517,83.558647,-0.395203,173.340759,287.181458,287.221527,204.362839,4.079179819522547,1
04/30/2018 07:30:00,707.53479,100.0,307.696686,17.243422,418.764832,182.768784,82.337952,-0.395203,177.029694,287.395081,287.541962,206.490158,4.152519957808752,1
04/30/2018 07:40:00,716.355896,100.0,308.795654,17.659454,416.908539,184.353729,82.36084,-0.395203,178.348145,288.970551,289.037323,207.687393,4.202315314204778,1
04/30/2018 07:50:00,452.911377,100.0,295.360626,12.479401,346.800781,179.996948,34.555054,-0.395203,176.436554,211.452087,211.839294,194.011856,3.5326195662708995,1
04/30/2018 08:00:00,439.585846,100.0,281.984344,11.143722,425.207733,166.172195,62.814331,-0.395203,161.117386,194.78949,195.203384,188.716248,3.3382213827126566,0
04/30/2018 08:10:00,407.429474,100.0,278.173187,10.436784,422.840973,162.495209,60.12878,-0.395203,158.42897,189.609131,190.023041,186.203796,3.2306011824426735,0
04/30/2018 08:20:00,485.568207,100.0,284.573151,11.753693,424.66333,162.363968,66.995232,-0.395203,157.904648,219.836792,220.14389,190.436386,3.4283659372943256,0
04/30/2018 08:30:00,573.841797,100.0,294.813507,14.096603,425.814392,168.012192,72.709648,-0.395203,162.560852,254.056549,254.350296,197.458572,3.7545443132289704,0
04/30/2018 08:40:00,577.845764,100.0,296.59198,14.400024,421.774567,172.22171,70.275879,-0.395203,167.552109,255.485138,255.818924,199.183273,3.7947363544783976,0
04/30/2018 08:50:00,592.797852,100.0,297.823853,14.628371,425.116669,174.065048,71.961975,-0.395203,169.392868,260.945892,261.159485,199.714142,3.8247053481281403,0
04/30/2018 09:00:00,682.447815,100.0,304.402191,16.245575,432.61908,178.282196,83.314514,-0.395203,172.419159,285.726135,285.832977,203.56546,4.030579983079358,1
04/30/2018 09:10:00,704.844604,100.0,307.421997,17.152708,421.92337,182.372665,81.97937,-0.395203,176.634247,288.716888,288.823669,206.357162,4.141582789224429,1
04/30/2018 09:20:00,719.734131,100.0,308.933044,17.656324,421.734985,184.221619,83.627312,-0.425721,178.084412,290.185547,290.21225,207.554337,4.201942883952613,1
04/30/2018 09:30:00,721.110535,100.0,309.207855,17.756422,422.756012,185.014343,84.49707,-0.425721,179.007568,290.305725,290.238922,207.953491,4.213836968844428,1
04/30/2018 09:40:00,721.798706,100.0,309.207855,17.756422,427.909119,185.146484,84.436035,-0.425721,179.139465,290.132141,290.132141,207.820435,4.213836968844428,1
04/30/2018 09:50:00,721.110535,100.0,309.207855,17.756422,422.882782,185.278625,83.688347,-0.425721,179.271378,289.971924,289.865082,207.953491,4.213836968844428,1
04/30/2018 10:00:00,721.798706,100.0,309.207855,17.756422,420.062744,185.278625,82.780457,-0.425721,179.271378,290.906525,290.879822,207.953491,4.213836968844428,1
04/30/2018 10:10:00,724.48877,100.0,309.207855,17.747038,427.78421,185.278625,85.054016,-0.425721,179.271378,291.467285,291.387177,207.820435,4.212723347194781,1
04/30/2018 10:20:00,715.730225,100.0,308.658264,17.750168,418.461395,185.410782,83.917229,-0.402834,179.40329,289.144104,289.144135,207.687393,4.21309482447286,1
04/30/2018 10:30:00,697.33728,100.0,308.795654,18.200607,406.000092,185.146484,80.537415,-0.402834,179.139465,263.175598,262.708252,207.820435,4.266216942444442,1
04/30/2018 10:40:00,384.907532,100.0,281.303436,10.674514,465.15152,174.987091,63.142395,-0.402834,167.552094,168.914398,169.141388,187.525894,3.267187475490196,0
04/30/2018 10:50:00,332.731628,100.0,269.750824,8.716353,417.436371,160.789413,56.024166,-0.402834,155.61171,160.583115,161.0504,179.601151,2.9523470324472356,1
04/30/2018 11:00:00,317.09137,100.0,264.735382,8.106383,427.09198,154.105759,56.176754,-0.402834,149.722717,154.895386,155.362686,176.172958,2.8471710521147124,1
04/30/2018 11:10:00,306.205719,100.0,262.975128,7.702866,425.278656,151.095901,55.863953,-0.402834,147.958038,151.864624,152.318573,174.460175,2.7754037544112387,1
04/30/2018 11:20:00,353.752106,100.0,266.225616,8.406677,428.745636,150.703506,65.309143,-0.402834,147.56601,170.089325,170.583344,176.96376,2.899427012359511,0
04/30/2018 11:30:00,395.167511,100.0,274.230835,9.726714,417.488495,153.974838,61.456299,-0.402834,151.095901,185.590363,185.910797,183.297012,3.11876802600001,0
04/30/2018 11:40:00,412.809723,100.0,276.405304,10.127105,426.253448,157.118317,62.539673,-0.402834,153.843933,191.932281,192.292786,184.750092,3.182311266988193,0
04/30/2018 11:50:00,427.073639,100.0,279.397675,10.627592,419.810364,159.084473,62.333679,-0.402834,155.415253,196.124634,196.511841,186.732574,3.259998773005904,0
04/30/2018 12:00:00,420.317047,100.0,278.853394,10.627592,421.79306,160.13356,61.677551,-0.402834,156.72522,194.295486,194.562531,186.600372,3.259998773005904,0
04/30/2018 12:10:00,421.005219,100.0,278.853394,10.527494,422.240356,160.395889,61.654659,-0.402834,156.987274,194.549179,194.856262,186.600372,3.2446099919713003,0
04/30/2018 12:20:00,419.628906,100.0,278.717346,10.527494,421.243256,160.395889,61.410519,-0.456239,156.987274,193.868256,194.268784,186.46817,3.2446099919713003,0
04/30/2018 12:30:00,419.316101,100.0,278.581299,10.527494,422.482758,160.395889,61.196896,-0.456239,156.987274,193.534454,193.921661,186.335983,3.2446099919713003,0
04/30/2018 12:40:00,453.662079,100.0,282.801636,11.334533,416.163544,161.707809,63.33313,-0.456239,157.904648,206.819153,207.139572,189.51004,3.3666798184561597,0
04/30/2018 12:50:00,453.599548,100.0,282.529175,11.234435,426.554779,162.495209,63.668819,-0.456239,158.953369,207.286438,207.620224,189.113113,3.3517808699257174,0
04/30/2018 13:00:00,460.418671,100.0,283.755402,11.537856,420.781189,163.414078,63.546753,-0.456239,159.608978,208.568176,208.928665,190.171692,3.396741968416206,0
04/30/2018 13:10:00,452.911377,100.0,283.074097,11.437759,424.922821,163.676666,63.325497,-0.456239,159.871277,206.872559,207.139572,189.642365,3.3819756060622317,0
04/30/2018 13:20:00,450.909424,100.0,283.074097,11.437759,423.871216,163.545364,63.33313,-0.44098,159.871277,206.992722,207.406601,189.642365,3.3819756060622317,0
04/30/2018 13:30:00,454.35025,100.0,283.074097,11.437759,423.008514,163.676666,63.02795,-0.44098,159.871277,207.473358,207.887253,189.642365,3.3819756060622317,0
04/30/2018 13:40:00,453.599548,100.0,283.210358,11.437759,423.47995,163.676666,63.722229,-0.44098,159.871277,206.952667,207.219681,189.774689,3.3819756060622317,0
04/30/2018 13:50:00,451.597565,100.0,282.801636,11.437759,422.230774,163.545364,63.150024,-0.44098,159.871277,206.271744,206.578827,189.51004,3.3819756060622317,0
04/30/2018 14:00:00,452.223206,100.0,282.801636,11.337662,423.757172,163.545364,63.546753,-0.44098,159.740112,206.245026,206.578827,189.51004,3.367144487544305,0
04/30/2018 14:10:00,450.221252,100.0,282.665405,11.337662,422.457855,163.414078,63.134762,-0.44098,159.740112,205.791092,206.071457,189.377731,3.367144487544305,0
04/30/2018 14:20:00,450.221252,100.0,282.665405,11.337662,422.663574,163.414078,62.875366,-0.418093,159.740112,205.470642,205.857849,189.245422,3.367144487544305,0
04/30/2018 14:30:00,449.533081,100.0,282.529175,11.337662,422.911774,163.414078,62.875366,-0.418093,159.608978,205.604172,205.991348,189.245422,3.367144487544305,0
04/30/2018 14:40:00,448.84491,100.0,282.529175,11.337662,421.163269,163.282806,63.150024,-0.418093,159.608978,205.243683,205.590805,189.377731,3.367144487544305,0
04/30/2018 14:50:00,448.84491,100.0,282.529175,11.337662,422.671997,163.282806,63.478088,-0.418093,159.608978,205.257019,205.537415,189.245422,3.367144487544305,0
04/30/2018 15:00:00,448.84491,100.0,282.392944,11.281357,423.045898,163.282806,62.684631,-0.418093,159.608978,205.043411,205.430588,189.245422,3.3587731391089815,0
04/30/2018 15:10:00,448.84491,100.0,282.529175,11.281357,423.365448,163.282806,62.944027,-0.418093,159.477844,205.083466,205.430588,189.245422,3.3587731391089815,0
