TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o
10/13/2019 19:30:00,82.675171,100.0,142.995682,3.958587,442.235992,126.333664,0.115965,-0.669861,126.983002,111.783592,112.237534,140.517242,1.9896198129290932,1
10/13/2019 19:40:00,101.756287,100.0,157.380402,4.443435,519.489929,127.37265,42.16156,2.832031,125.684464,110.662079,111.222832,144.953629,2.107945682412144,1
10/13/2019 19:50:00,103.758232,100.0,179.073517,4.58107,497.641907,126.723251,42.390442,-0.669861,125.42482,111.837006,112.317665,145.867737,2.140343430386815,1
10/13/2019 20:00:00,139.105209,100.0,156.201172,4.947052,479.91568,126.333664,32.067867,-0.669861,125.035385,108.779526,109.246826,149.265121,2.224196933726868,1
10/13/2019 20:10:00,189.341705,100.0,209.15126,5.904236,515.882385,126.203819,46.128841,-0.669861,125.814301,117.711639,118.165581,153.320328,2.4298633706445307,1
10/13/2019 20:20:00,214.491272,100.0,230.920837,6.44226,513.719299,126.853119,57.73315,-0.669861,127.567505,119.754402,120.195007,156.856247,2.5381607514103592,1
10/13/2019 20:30:00,226.065048,100.0,237.628174,6.999054,495.38327,132.182083,54.109188,-0.669861,131.791885,122.451401,122.945396,160.527054,2.645572527828334,1
10/13/2019 20:40:00,228.067001,100.0,240.449463,7.189864,499.278961,135.175171,52.69775,-0.669861,134.394119,123.412704,123.9067,161.970261,2.681392175717681,1
10/13/2019 20:50:00,245.021042,100.0,242.86969,7.443237,511.98761,137.258881,56.420898,-0.631715,135.956421,143.359741,143.933868,162.626465,2.7282296457593156,1
10/13/2019 21:00:00,349.685669,100.0,257.700226,10.117721,507.406738,142.212814,62.28027,-0.631715,139.343872,181.464767,181.905365,173.14325,3.1808365251927047,0
10/13/2019 21:10:00,356.504791,100.0,266.361145,10.712051,499.29953,147.304672,59.045406,-0.631715,145.214783,170.850372,171.250916,176.96376,3.2729269774927765,1
10/13/2019 21:20:00,385.658264,100.0,268.66571,11.322021,512.637939,151.357513,63.478088,-0.631715,148.480804,190.103134,190.557098,178.677826,3.364821094798355,0
10/13/2019 21:30:00,490.260284,100.0,281.848145,14.131012,510.448242,158.691147,68.711845,-0.631715,153.974854,225.043869,225.431046,187.525894,3.759123834086874,0
10/13/2019 21:40:00,591.484009,100.0,293.719574,17.252806,511.924866,168.275131,74.189751,-0.631715,162.29834,247.287369,247.514343,195.999908,4.153649720426603,0
10/13/2019 21:50:00,590.107666,100.0,296.59198,17.747038,496.789551,174.196747,71.275322,-0.631715,168.998322,265.00473,265.19165,198.785187,4.212723347194781,0
10/13/2019 22:00:00,602.307068,100.0,297.413177,18.169325,499.406464,176.304749,71.67968,-0.631715,170.708313,266.379913,266.606903,199.714142,4.262549119951581,0
10/13/2019 22:10:00,694.647217,100.0,304.264984,20.499725,512.987061,180.128876,79.797363,-0.631715,173.209076,287.315002,287.381744,204.097031,4.527662200297191,1
10/13/2019 22:20:00,696.711731,100.0,306.872711,20.79376,497.837616,183.164948,77.638245,-0.631715,176.634247,288.049316,288.156097,205.692261,4.560017543825901,1
10/13/2019 22:30:00,715.730225,100.0,308.795654,21.409986,507.487061,184.48584,80.537415,-0.631715,177.688843,288.316345,288.262939,206.889191,4.627092607674932,1
10/13/2019 22:40:00,712.289368,100.0,309.207855,21.475676,496.92691,185.542938,78.065491,-0.631715,178.875671,288.40979,288.289642,207.288269,4.634185581091892,1
10/13/2019 22:50:00,723.175049,100.0,309.757568,21.741562,501.099976,185.807266,80.262756,-0.601197,178.875671,290.425873,290.372467,207.687393,4.662784790229976,1
10/13/2019 23:00:00,721.798706,100.0,309.89502,21.772842,502.246277,186.071609,79.83551,-0.601197,179.139465,290.238953,290.105438,207.820435,4.666137803365863,1
10/13/2019 23:10:00,637.654114,100.0,304.676575,19.720839,491.537964,183.429092,71.458435,-0.601197,177.425156,279.864868,280.011719,204.362839,4.440815127879115,0
10/13/2019 23:20:00,605.059753,100.0,299.604065,18.460234,504.365479,179.073517,72.244263,-0.601197,173.274933,268.502808,268.609619,200.776123,4.296537443104621,0
10/13/2019 23:30:00,597.55249,100.0,298.097656,18.197479,500.254669,177.62291,70.397949,-0.601197,171.826843,264.844482,265.031433,199.979599,4.2658503255505815,0
10/13/2019 23:40:00,596.238708,100.0,298.508423,18.150558,495.673431,177.095581,69.642639,-0.601197,171.432037,262.200928,262.387848,199.846863,4.260347168952315,0
10/13/2019 23:50:00,501.896637,100.0,291.669495,15.504227,493.498688,173.274918,62.242126,-0.601197,168.275146,228.528595,228.795609,194.144348,3.9375407299480725,0
10/14/2019 00:00:00,501.896637,100.0,289.484283,15.210189,499.80658,169.85321,65.148926,-0.601197,164.989868,226.338943,226.63269,192.554718,3.9000242306939583,0
10/14/2019 00:10:00,496.453857,100.0,288.392242,15.000609,499.319244,168.669586,65.232849,-0.601197,163.93927,224.950409,225.270844,191.892593,3.873061966971352,0
10/14/2019 00:20:00,499.143982,100.0,288.801697,14.931792,499.375275,168.275131,65.698242,-0.601197,163.676666,225.684723,225.965118,191.495377,3.864167698224289,0
10/14/2019 00:30:00,452.973907,100.0,286.20932,13.821336,494.648987,167.223495,61.128235,-0.601197,163.020264,203.187561,203.50798,189.245422,3.7177057441384465,0
10/14/2019 00:40:00,446.154785,100.0,283.891693,13.420942,498.388763,164.595856,62.730408,-0.601197,160.658234,206.111511,206.445297,187.393661,3.6634603860284884,0
10/14/2019 00:50:00,448.84491,100.0,282.937866,13.436584,501.38327,164.070572,63.279724,-0.646973,159.871277,206.819153,207.16629,186.996994,3.665594631161498,0
10/14/2019 01:00:00,448.219299,100.0,283.210358,13.408433,498.124786,163.939255,62.699886,-0.646973,159.740112,206.151581,206.472,187.261429,3.6617527223994797,0
10/14/2019 01:10:00,450.909424,100.0,283.346619,13.470993,500.286194,163.807953,63.33313,-0.646973,159.740112,207.313156,207.673645,187.261429,3.6702851387869035,0
10/14/2019 01:20:00,450.221252,100.0,283.48288,13.474121,499.686951,163.939255,62.944027,-0.646973,159.740112,206.952667,207.299789,187.393661,3.6707112389835297,0
10/14/2019 01:30:00,450.221252,100.0,283.346619,13.480376,501.387085,163.807953,63.15765,-0.646973,159.740112,207.219696,207.540131,187.261429,3.671563154842907,0
10/14/2019 01:40:00,450.221252,100.0,283.346619,13.480376,500.116821,163.807953,63.356018,-0.646973,159.740112,206.485352,206.79245,187.261429,3.671563154842907,0
10/14/2019 01:50:00,449.533081,100.0,283.210358,13.449097,499.719696,163.807953,63.035583,-0.654602,159.740112,206.538773,206.925949,187.261429,3.667301051181918,0
10/14/2019 02:00:00,449.533081,100.0,283.074097,13.455352,500.009521,163.807953,63.02795,-0.654602,159.608978,206.925964,207.299789,187.129211,3.66815375904555,0
10/14/2019 02:10:00,450.221252,100.0,283.210358,13.480376,499.865997,163.807953,62.882992,-0.654602,159.608978,206.979355,207.35321,187.261429,3.671563154842907,0
10/14/2019 02:20:00,450.909424,100.0,283.346619,13.48976,499.943939,163.807953,63.172913,-0.654602,159.608978,207.219696,207.513412,187.261429,3.672840862329867,0
10/14/2019 02:30:00,397.920227,100.0,279.533783,12.169722,497.278687,162.495209,58.732605,-0.654602,158.691162,186.191162,186.658478,184.089523,3.4885128636712808,1
10/14/2019 02:40:00,399.92218,100.0,277.085144,12.02896,502.207458,159.871262,61.013794,-0.654602,156.332184,188.060364,188.447556,182.636734,3.4682791121822936,0
10/14/2019 02:50:00,397.920227,100.0,276.405304,11.947631,501.756531,159.215591,60.723877,-0.616456,155.546219,186.832031,187.219238,182.372665,3.4565345362081947,0
10/14/2019 03:00:00,399.92218,100.0,276.677216,11.957014,499.737549,158.953369,60.845943,-0.616456,155.284271,187.833405,188.180542,182.372665,3.4578915541121296,0
10/14/2019 03:10:00,400.610352,100.0,276.949158,12.00081,500.619385,158.953369,60.716248,-0.616456,155.415253,187.51297,187.88681,182.5047,3.464218526594418,0
10/14/2019 03:20:00,399.92218,100.0,276.949158,11.975784,499.936066,158.953369,60.411068,-0.616456,155.415253,187.299347,187.726593,182.5047,3.460604571458577,0
10/14/2019 03:30:00,399.859589,100.0,276.949158,11.982039,500.114319,158.82225,60.716248,-0.616456,155.284271,187.366089,187.806702,182.5047,3.4615081973035973,0
10/14/2019 03:40:00,399.92218,100.0,276.949158,11.978913,500.12439,158.82225,60.68573,-0.616456,155.284271,187.553009,187.966904,182.372665,3.4610566305681854,0
10/14/2019 03:50:00,400.672882,100.0,276.949158,11.997681,499.631775,158.82225,60.411068,-0.601197,155.284271,187.593079,187.966904,182.5047,3.4637668801465265,0
10/14/2019 04:00:00,399.92218,100.0,276.813202,11.978913,500.8255,158.82225,60.746765,-0.601197,155.284271,187.272644,187.673172,182.372665,3.4610566305681854,0
10/14/2019 04:10:00,399.92218,100.0,276.813202,11.982039,499.976196,158.82225,60.563656,-0.601197,155.284271,187.339386,187.69989,182.372665,3.4615081973035973,0
10/14/2019 04:20:00,399.92218,100.0,276.813202,11.950759,500.546387,158.82225,60.853577,-0.601197,155.284271,187.913513,188.287354,182.372665,3.4569869829086715,0
10/14/2019 04:30:00,399.92218,100.0,276.813202,11.957014,501.395599,158.82225,60.716248,-0.601197,155.284271,187.820038,188.180542,182.372665,3.4578915541121296,0
10/14/2019 04:40:00,400.610352,100.0,276.813202,11.975784,500.094238,158.82225,60.540768,-0.601197,155.284271,187.486267,187.833405,182.372665,3.460604571458577,0
10/14/2019 04:50:00,401.298523,100.0,276.813202,11.997681,500.234833,158.82225,60.655209,-0.601197,155.284271,187.966919,188.340744,182.372665,3.4637668801465265,0
10/14/2019 05:00:00,399.29657,100.0,276.813202,11.953888,500.290253,158.82225,60.777283,-0.601197,155.284271,187.299347,187.673172,182.372665,3.457439515016857,0
10/14/2019 05:10:00,399.92218,100.0,276.813202,11.963272,500.340546,158.82225,60.571285,-0.601197,155.284271,187.406158,187.779984,182.372665,3.458796322422007,0
10/14/2019 05:20:00,399.29657,100.0,276.813202,11.957014,500.704742,158.82225,60.8078,-0.601197,155.284271,187.499619,187.860092,182.372665,3.4578915541121296,0
10/14/2019 05:30:00,399.92218,100.0,276.813202,11.972655,500.370697,158.82225,60.823059,-0.601197,155.284271,187.579727,187.966904,182.372665,3.4601524532887273,0
10/14/2019 05:40:00,399.234009,100.0,276.677216,11.950759,499.737549,158.82225,60.479736,-0.601197,155.284271,187.299347,187.673172,182.372665,3.4569869829086715,0
10/14/2019 05:50:00,399.92218,100.0,276.677216,11.957014,500.448456,158.82225,60.647579,-0.601197,155.284271,187.686539,188.020325,182.372665,3.4578915541121296,0
10/14/2019 06:00:00,399.92218,100.0,276.813202,11.972655,499.976196,158.82225,60.655209,-0.601197,155.284271,187.659836,188.020325,182.372665,3.4601524532887273,0
10/14/2019 06:10:00,399.29657,100.0,276.677216,11.960143,499.915955,158.82225,60.464474,-0.601197,155.284271,187.646484,188.020325,182.372665,3.4583439678551353,0
10/14/2019 06:20:00,399.29657,100.0,276.677216,11.972655,499.70977800000003,158.82225,60.624691,-0.601197,155.284271,187.419495,187.779984,182.372665,3.4601524532887273,0
10/14/2019 06:30:00,400.672882,100.0,276.813202,11.972655,500.12439,158.82225,60.586548,-0.601197,155.284271,187.179184,187.56636,182.5047,3.4601524532887273,0
10/14/2019 06:40:00,359.194916,100.0,273.959137,11.056136,491.484406,158.035721,55.543518,-0.601197,154.891388,167.485809,167.886353,180.128876,3.3250768412173577,1
10/14/2019 06:50:00,347.621155,100.0,270.429199,10.533752,496.626556,155.284271,57.73315,-0.616456,151.75,167.539215,167.913055,177.886612,3.245574217299614,1
10/14/2019 07:00:00,346.307373,100.0,269.343872,10.477448,499.131989,154.236694,58.145138,-0.616456,150.965103,167.539215,167.913055,177.227417,3.2368886295329964,1
10/14/2019 07:10:00,345.619202,100.0,268.801331,10.433655,500.462952,153.713028,58.168026,-0.616456,150.572723,168.019867,168.393692,176.96376,3.2301168709506474,1
10/14/2019 07:20:00,351.061981,100.0,269.343872,10.533752,499.935577,153.713028,58.564758,-0.616456,150.572723,169.261536,169.675446,177.227417,3.245574217299614,1
10/14/2019 07:30:00,351.061981,100.0,269.750824,10.558777,499.095154,153.843933,58.404541,-0.616456,150.703522,169.194794,169.541916,177.359238,3.249427180288858,1
10/14/2019 07:40:00,351.061981,100.0,269.750824,10.55252,499.746033,153.843933,58.282467,-0.616456,150.703522,169.074631,169.488525,177.227417,3.248464252535342,1
10/14/2019 07:50:00,361.25946,100.0,269.750824,10.649491,505.514252,153.713028,60.052486,-0.608826,150.572723,174.041367,174.481964,177.227417,3.2633557881420163,0
10/14/2019 08:00:00,397.920227,100.0,275.725616,11.800611,496.649353,155.808182,60.792538,-0.608826,152.142502,185.723877,186.12442,181.448578,3.435201740800677,0
10/14/2019 08:10:00,401.298523,100.0,276.54126,11.891326,500.08667,157.380402,61.013794,-0.608826,153.843933,188.327408,188.687897,181.844574,3.4483801994559706,0
10/14/2019 08:20:00,401.986694,100.0,277.22113,12.010193,498.954529,158.297882,60.914612,-0.608826,154.760437,188.006958,188.340744,182.5047,3.4655725356714147,0
10/14/2019 08:30:00,401.298523,100.0,276.949158,12.010193,499.505829,158.691147,60.777283,-0.608826,155.153305,187.739929,188.100433,182.5047,3.4655725356714147,0
10/14/2019 08:40:00,400.610352,100.0,276.813202,11.988297,500.717438,158.82225,60.746765,-0.608826,155.284271,187.312683,187.673172,182.5047,3.4624120205429048,0
10/14/2019 08:50:00,399.984741,100.0,276.677216,11.985168,499.739899,158.82225,60.51025,-0.624085,155.284271,187.526306,187.860092,182.5047,3.4619601384186964,0
10/14/2019 09:00:00,400.610352,100.0,276.813202,11.997681,500.194702,158.82225,60.68573,-0.624085,155.284271,187.646484,188.047012,182.5047,3.4637668801465265,0
10/14/2019 09:10:00,400.610352,100.0,276.813202,11.991423,500.559082,158.82225,60.784908,-0.624085,155.415253,187.713242,188.127136,182.5047,3.46286341053181,0
10/14/2019 09:20:00,400.672882,100.0,276.813202,11.991423,500.322937,158.82225,60.632324,-0.624085,155.415253,187.833405,188.207245,182.5047,3.46286341053181,0
10/14/2019 09:30:00,399.92218,100.0,276.813202,11.994552,499.868134,158.953369,60.563656,-0.624085,155.415253,187.739929,188.153824,182.5047,3.4633151748000066,0
10/14/2019 09:40:00,400.610352,100.0,276.677216,12.00081,499.918335,158.82225,60.540768,-0.624085,155.415253,187.619781,188.020325,182.5047,3.464218526594418,0
10/14/2019 09:50:00,399.984741,100.0,276.813202,12.003936,499.651825,158.82225,60.601803,-0.639345,155.415253,187.486267,187.88681,182.5047,3.464669681225037,0
10/14/2019 10:00:00,401.298523,100.0,276.813202,12.007064,500.71994,158.953369,60.548397,-0.639345,155.415253,187.339386,187.69989,182.5047,3.4651210657060743,0
10/14/2019 10:10:00,466.549683,100.0,282.120544,13.611754,506.499207,160.920593,65.927124,-0.639345,156.594208,211.238464,211.518845,186.864777,3.6894110641130786,0
10/14/2019 10:20:00,497.8302,100.0,288.528717,14.769135,495.904999,164.858521,65.713493,-0.639345,160.395889,224.095917,224.336243,190.833466,3.8430632313299244,0
10/14/2019 10:30:00,498.893738,100.0,288.801697,14.784774,500.537079,166.829224,65.888977,-0.639345,162.363968,226.03186,226.365662,191.098221,3.845097397986168,0
10/14/2019 10:40:00,540.559326,100.0,292.352722,15.998459,501.599304,169.064072,68.90258,-0.639345,163.807953,241.452789,241.693115,194.011856,3.999807370361728,0
10/14/2019 10:50:00,538.557434,100.0,293.036072,16.029739,500.747314,170.774094,68.254089,-0.570678,165.778046,241.426071,241.693115,194.541885,4.003715649243837,0
10/14/2019 11:00:00,541.93573,100.0,293.582855,16.17363,500.597565,171.432022,67.918396,-0.570678,166.434998,242.227173,242.520889,194.939468,4.021645185741775,0
10/14/2019 11:10:00,541.873108,100.0,293.446167,16.226805,501.533386,171.826843,68.627922,-0.570678,166.829224,242.053589,242.280579,195.071991,4.028250861105847,0
10/14/2019 11:20:00,540.371704,100.0,293.309448,16.192396,498.888824,171.826843,67.933655,-0.570678,166.960648,241.893372,242.173767,195.071991,4.023977634132675,0
10/14/2019 11:30:00,539.871155,100.0,293.309448,16.183012,501.537415,171.958466,67.781067,-0.570678,166.960648,241.813263,242.093658,194.939468,4.022811454691856,0
