TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o
08/30/2019 02:50:00,71.16394,100.0,140.256454,3.436203,246.937088,123.997116,0.039673,-0.471498,125.554642,111.917099,112.371056,138.561844,1.8536998138857326,1
08/30/2019 03:00:00,73.228439,100.0,140.517242,3.52066,536.950623,125.294998,49.92065,26.795959,124.386429,111.983864,112.504585,138.692169,1.8763421862762666,1
08/30/2019 03:10:00,73.228439,100.0,156.856247,3.523788,529.869324,124.905586,73.007195,4.632568,124.256653,112.037277,112.531273,138.952835,1.8771755378759867,0
08/30/2019 03:20:00,73.165894,100.0,174.065048,3.530045,532.576233,125.294998,94.911194,-0.662232,124.386429,111.903763,112.371056,139.213516,1.8788413983090748,1
08/30/2019 03:30:00,73.228439,100.0,183.561157,3.570708,471.674286,125.42482,77.47802,-0.555419,124.386429,112.22419,112.718193,139.343872,1.8896317101488322,1
08/30/2019 03:40:00,73.165894,100.0,189.245422,3.595733,485.741974,125.42482,62.387085,-0.555419,124.256653,112.237549,112.691498,139.73494,1.8962418094747304,0
08/30/2019 03:50:00,73.228439,100.0,192.422287,3.592606,500.168732,125.165192,62.356567,-0.555419,123.997116,112.357712,112.798317,139.73494,1.8954171044917791,0
08/30/2019 04:00:00,72.540268,100.0,194.939468,3.576965,499.54364,125.035385,64.126587,-0.555419,123.997116,112.557983,113.118736,139.604584,1.8912865991171195,0
08/30/2019 04:10:00,126.905823,100.0,174.460175,4.922027,482.146698,125.035385,44.610596,-0.555419,124.126884,111.463165,111.943802,146.520813,2.218564175317,1
08/30/2019 04:20:00,144.548035,100.0,211.01532,5.216064,493.30368,125.554634,40.864563,-0.555419,124.775787,112.077332,112.557976,151.488342,2.283870399125134,1
08/30/2019 04:30:00,151.992783,100.0,217.41449,5.087814,505.423126,124.386429,44.206238,-0.570678,124.256653,104.653931,105.134583,150.834305,2.2556183187764725,1
08/30/2019 04:40:00,139.167786,100.0,219.283295,4.678039,504.712097,126.073967,45.312496,-0.570678,125.814301,98.538971,99.019615,149.395859,2.162877481504674,1
08/30/2019 04:50:00,141.107178,100.0,218.215271,4.696808,499.958801,126.982994,44.030758,-0.570678,125.814301,100.221252,100.701897,148.088715,2.1672120339274605,1
08/30/2019 05:00:00,145.236206,100.0,217.41449,4.800033,496.236969,127.112877,48.432922,-0.570678,125.94413,113.866425,114.400482,147.696671,2.190897761192886,1
08/30/2019 05:10:00,178.4561,100.0,221.019577,5.469436,514.92865,127.762352,56.878662,-0.570678,125.94413,117.751686,118.299103,152.927673,2.338682535103899,1
08/30/2019 05:20:00,186.651581,100.0,229.581055,5.835418,493.326111,129.321594,52.423092,-0.570678,128.541901,116.082764,116.563408,155.546219,2.4156609861485117,1
08/30/2019 05:30:00,190.718063,100.0,231.456909,5.919876,501.499207,123.21862,53.384399,-0.570678,130.621521,116.830444,117.25769,155.022339,2.4330795301428187,1
08/30/2019 05:40:00,212.489319,100.0,235.480301,6.479797,498.698669,132.572342,54.650875,-0.570678,131.531769,118.859863,119.287094,158.82225,2.5455445389935725,1
08/30/2019 05:50:00,224.000534,100.0,239.508759,6.911468,499.493805,134.263962,53.468323,-0.570678,132.832535,121.556847,122.010803,160.920593,2.62896709754991,1
08/30/2019 06:00:00,234.198013,100.0,242.466202,7.252425,498.959808,135.826202,53.315731,-0.570678,134.394119,124.814606,125.268555,163.020248,2.693032677113295,1
08/30/2019 06:10:00,240.954559,100.0,245.022552,7.502669,499.050903,137.38916,52.857967,-0.570678,136.086639,127.484894,127.938843,164.333206,2.7391000346829246,1
08/30/2019 06:20:00,246.397385,100.0,246.907501,7.705993,499.214172,138.822495,52.278137,-0.570678,137.51944,129.554352,129.994949,165.515289,2.7759670387092137,1
08/30/2019 06:30:00,246.397385,100.0,247.580978,7.687224,499.845123,139.995682,52.06451,-0.601197,138.431519,129.474243,129.914856,165.515289,2.772584353991777,1
08/30/2019 06:40:00,245.083618,100.0,247.850403,7.637176,499.15451,140.647629,51.950073,-0.601197,138.952835,129.527649,129.968246,165.515289,2.763544101330753,1
08/30/2019 06:50:00,245.083618,100.0,247.850403,7.605896,500.214355,140.908447,52.102661,-0.601197,139.213531,129.434204,129.914856,165.252579,2.7578788950931115,1
08/30/2019 07:00:00,250.463867,100.0,248.254593,7.618408,504.146759,141.038864,53.201294,-0.601197,139.213531,131.837463,132.318115,165.252579,2.7601463729302473,1
08/30/2019 07:10:00,310.960388,100.0,255.403687,9.038544,505.865601,142.473755,59.625244,-0.601197,139.734955,154.147705,154.615021,170.642517,3.0064171367260397,1
08/30/2019 07:20:00,327.914398,100.0,262.839752,9.773636,497.676483,145.606537,56.809994,-0.601197,143.648224,160.436234,160.836792,174.591904,3.126281497242371,1
08/30/2019 07:30:00,340.864532,100.0,265.006287,10.133362,502.735931,148.219406,58.587646,-0.547791,145.867737,165.309509,165.670013,175.909393,3.1832942056932154,1
